,subset,label,color,sortkey
0,Rank4_Refine,Vascular and leptomeningeal cells,#1F77B4,1.0
1,Rank4_Refine,Pericytes,#C49C94,2.0
2,Rank4_Refine,Vascular endothelial cells,#8E6D61,3.0
3,Rank4_Refine,Vascular smooth muscle cells,#8C564B,4.0
4,Rank4_Refine,Olfactory ensheathing cells,#374A46,5.0
5,Rank4_Refine,Oligodendrocyte precursor cells,#778A84,6.0
6,Rank4_Refine,Astrocytes,#DBDB8D,7.0
7,Rank4_Refine,Ependymal cells,#C5B0D5,8.0
8,Rank4_Refine,Choroid plexus epithelial cells,#9467BD,9.0
9,Rank4_Refine,Subcommissural organ hypendymal cells,#A54485,10.0
10,Rank4_Refine,Oligodendrocytes,#9EDAE5,11.0
11,Rank4_Refine,Microglia,#A2B1D8,12.0
12,Rank4_Refine,Perivascular macrophages,#8599CB,13.0
13,Rank4_Refine,Cholinergic and monoaminergic neurons,#DA7F8C,14.0
14,Rank4_Refine,Peptidergic neurons,#D62728,15.0
15,Rank4_Refine,Di- and mesencephalon excitatory neurons,#FF9896,16.0
16,Rank4_Refine,Di- and mesenphalon inhibitory neurons,#E377C2,17.0
17,Rank4_Refine,Non-glutamatergic neuroblasts,#BCBD22,18.0
18,Rank4_Refine,Glutamatergic neuroblasts,#AEC7E8,19.0
19,Rank4_Refine,Hindbrain neurons/Spinal cord neurons,#F7B6D2,20.0
20,Rank4_Refine,Telencephalon inhibitory interneurons,#FF7F0E,21.0
21,Rank4_Refine,Olfactory inhibitory neurons,#FFBB78,22.0
22,Rank4_Refine,Telencephalon projecting excitatory neurons,#2CA02C,23.0
23,Rank4_Refine,Telencephalon projecting inhibitory neurons,#17BECF,24.0
24,Rank4_Refine,Dentate gyrus granule neurons,#98DF8A,25.0
25,Rank4_Refine,Cerebellum neurons,#EDE659,26.0
26,Rank5_Symbol,VLM_1,#1F76B3,1.0
27,Rank5_Symbol,VLM_2,#246693,2.0
28,Rank5_Symbol,PER_1,#D3A59C,3.0
29,Rank5_Symbol,PER_2,#C49C94,4.0
30,Rank5_Symbol,PER_3,#B2847B,5.0
31,Rank5_Symbol,PER_4,#9F6E64,6.0
32,Rank5_Symbol,VEN_1,#8E6D61,7.0
33,Rank5_Symbol,VEN_2,#795F55,8.0
34,Rank5_Symbol,VSM_1,#774D44,9.0
35,Rank5_Symbol,OEC,#31423E,10.0
36,Rank5_Symbol,OPC,#667872,11.0
37,Rank5_Symbol,AC_1,#A6A64D,12.0
38,Rank5_Symbol,AC_2,#EAEAA2,13.0
39,Rank5_Symbol,AC_3,#DADA8D,14.0
40,Rank5_Symbol,AC_4,#A4A46A,15.0
41,Rank5_Symbol,AC_5,#BCBC5E,16.0
42,Rank5_Symbol,AC_6,#6E6E47,17.0
43,Rank5_Symbol,EPEN_1,#C4B0D4,18.0
44,Rank5_Symbol,EPEN_2,#A98EBE,19.0
45,Rank5_Symbol,CHOR,#7F52A9,20.0
46,Rank5_Symbol,HYPEN,#8A4071,21.0
47,Rank5_Symbol,OLG_1,#A8E1EB,22.0
48,Rank5_Symbol,OLG_2,#61B2C1,23.0
49,Rank5_Symbol,OLG_3,#9ED9E4,24.0
50,Rank5_Symbol,OLG_4,#7DC7D5,25.0
51,Rank5_Symbol,MGL_1,#A2B1D8,26.0
52,Rank5_Symbol,MGL_2,#8597C6,27.0
53,Rank5_Symbol,MGL_3,#D1D9EC,28.0
54,Rank5_Symbol,PVM,#697FB7,29.0
55,Rank5_Symbol,CHO_1,#F7BAC3,30.0
56,Rank5_Symbol,CHO_2,#F4B0BA,31.0
57,Rank5_Symbol,CHO_3,#F0A7B1,32.0
58,Rank5_Symbol,CHO_4,#ED9EA9,33.0
59,Rank5_Symbol,CHO_5,#E995A1,34.0
60,Rank5_Symbol,CHO_6,#E48D9A,35.0
61,Rank5_Symbol,CHO_7,#DF8692,36.0
62,Rank5_Symbol,DOP_1,#DA7F8C,37.0
63,Rank5_Symbol,MEGLU_6,#D1707E,38.0
64,Rank5_Symbol,SER_1,#C86371,39.0
65,Rank5_Symbol,SER_2,#BE5665,40.0
66,Rank5_Symbol,SER_3,#B34A59,41.0
67,Rank5_Symbol,SER_4,#9F4854,42.0
68,Rank5_Symbol,SER_5,#8C444F,43.0
69,Rank5_Symbol,SER_6,#7A4048,44.0
70,Rank5_Symbol,SER_7,#683B42,45.0
71,Rank5_Symbol,INH_1,#FBB1B2,46.0
72,Rank5_Symbol,INH_2,#F9A5A6,47.0
73,Rank5_Symbol,INH_3,#F7999A,48.0
74,Rank5_Symbol,INH_4,#F68E8E,49.0
75,Rank5_Symbol,PEP_1,#F48283,50.0
76,Rank5_Symbol,PEP_10,#F17778,51.0
77,Rank5_Symbol,PEP_11,#C9292A,60.0
78,Rank5_Symbol,PEP_12,#BC2A2B,61.0
79,Rank5_Symbol,PEP_13,#B02C2D,62.0
80,Rank5_Symbol,PEP_14,#A42D2E,63.0
81,Rank5_Symbol,PEP_15,#992E2E,64.0
82,Rank5_Symbol,PEP_16,#8E2E2F,65.0
83,Rank5_Symbol,PEP_17,#832E2F,66.0
84,Rank5_Symbol,PEP_18,#792E2F,67.0
85,Rank5_Symbol,PEP_19,#6F2E2E,68.0
86,Rank5_Symbol,PEP_2,#EF6C6D,52.0
87,Rank5_Symbol,PEP_20,#652D2D,69.0
88,Rank5_Symbol,PEP_21,#5B2C2C,70.0
89,Rank5_Symbol,PEP_22,#522A2A,71.0
90,Rank5_Symbol,PEP_23,#492829,72.0
91,Rank5_Symbol,PEP_24,#412626,73.0
92,Rank5_Symbol,PEP_3,#EC6162,53.0
93,Rank5_Symbol,PEP_4,#E95757,54.0
94,Rank5_Symbol,PEP_5,#E64C4D,55.0
95,Rank5_Symbol,PEP_6,#E24243,56.0
96,Rank5_Symbol,PEP_7,#DF3839,57.0
97,Rank5_Symbol,PEP_8,#DB2F30,58.0
98,Rank5_Symbol,PEP_9,#D62727,59.0
99,Rank5_Symbol,DEGLU_1,#FED2D2,74.0
100,Rank5_Symbol,DEGLU_2,#FECBCA,75.0
101,Rank5_Symbol,DEGLU_3,#FFC4C3,76.0
102,Rank5_Symbol,DEGLU_4,#FFBCBB,77.0
103,Rank5_Symbol,DEGLU_5,#FFB5B4,78.0
104,Rank5_Symbol,DEGLU_6,#FFAEAC,79.0
105,Rank5_Symbol,GLU_5,#FFA6A5,80.0
106,Rank5_Symbol,HABCHO_1,#E44E4B,86.0
107,Rank5_Symbol,HABCHO_2,#D93F3C,87.0
108,Rank5_Symbol,HABCHO_3,#CC3330,88.0
109,Rank5_Symbol,HABGLU_1,#B03533,89.0
110,Rank5_Symbol,MEGLU_1,#FF9F9D,81.0
111,Rank5_Symbol,MEGLU_2,#FF9896,82.0
112,Rank5_Symbol,MEGLU_3,#FA8380,83.0
113,Rank5_Symbol,MEGLU_4,#F4706D,84.0
114,Rank5_Symbol,MEGLU_5,#ED5E5B,85.0
115,Rank5_Symbol,DEINH_1,#F29ED8,90.0
116,Rank5_Symbol,INH_12,#EE90D1,91.0
117,Rank5_Symbol,INH_13,#E883C9,92.0
118,Rank5_Symbol,INH_5,#E377C1,93.0
119,Rank5_Symbol,INH_7,#D863B4,94.0
120,Rank5_Symbol,MEINH_1,#CC52A7,95.0
121,Rank5_Symbol,MEINH_2,#BE4298,96.0
122,Rank5_Symbol,MEINH_3,#A34085,97.0
123,Rank5_Symbol,TEINH_35,#883D71,98.0
124,Rank5_Symbol,NGNBL_1,#DDDE29,99.0
125,Rank5_Symbol,NGNBL_2,#BCBD21,100.0
126,Rank5_Symbol,NGNBL_3,#9E9F26,101.0
127,Rank5_Symbol,NGNBL_4,#838429,102.0
128,Rank5_Symbol,GNBL_1,#B6CEEE,103.0
129,Rank5_Symbol,GNBL_2,#AEC7E8,104.0
130,Rank5_Symbol,GNBL_3,#8FAFD9,105.0
131,Rank5_Symbol,GNBL_4,#7398C9,106.0
132,Rank5_Symbol,GNBL_5,#5A82B6,107.0
133,Rank5_Symbol,GLU_1,#FCD1E3,108.0
134,Rank5_Symbol,GLU_2,#FBCADF,109.0
135,Rank5_Symbol,GLU_7,#F9C3DA,110.0
136,Rank5_Symbol,HBGLU_1,#F8BCD6,111.0
137,Rank5_Symbol,HBGLU_2,#F6B6D1,112.0
138,Rank5_Symbol,HBINH_1,#EF98BD,113.0
139,Rank5_Symbol,INH_10,#E47CA9,114.0
140,Rank5_Symbol,INH_11,#D76495,115.0
141,Rank5_Symbol,INH_6,#C74E82,116.0
142,Rank5_Symbol,INH_9,#AE4170,117.0
143,Rank5_Symbol,TEINH_1,#FFDCBD,118.0
144,Rank5_Symbol,TEINH_10,#FEA75A,126.0
145,Rank5_Symbol,TEINH_11,#FEA14F,127.0
146,Rank5_Symbol,TEINH_12,#FFD6B2,119.0
147,Rank5_Symbol,TEINH_13,#FE8A23,131.0
148,Rank5_Symbol,TEINH_14,#FE9C44,128.0
149,Rank5_Symbol,TEINH_15,#EE750A,135.0
150,Rank5_Symbol,TEINH_16,#714824,144.5
151,Rank5_Symbol,TEINH_17,#E0710E,136.0
152,Rank5_Symbol,TEINH_18,#FFD0A7,120.0
153,Rank5_Symbol,TEINH_19,#FFCA9C,121.0
154,Rank5_Symbol,TEINH_2,#FE9639,129.0
155,Rank5_Symbol,TEINH_20,#664425,145.0
156,Rank5_Symbol,TEINH_21,#FFC491,122.0
157,Rank5_Symbol,TEINH_22,#FE902E,130.0
158,Rank5_Symbol,TEINH_23,#D26C12,137.0
159,Rank5_Symbol,TEINH_24,#533A24,146.0
160,Rank5_Symbol,TEINH_25,#C56816,138.0
161,Rank5_Symbol,TEINH_26,#FEBF86,123.0
162,Rank5_Symbol,TEINH_27,#FE8418,132.0
163,Rank5_Symbol,TEINH_28,#FEB97B,124.0
164,Rank5_Symbol,TEINH_29,#FEB370,125.0
165,Rank5_Symbol,TEINH_3,#FE7F0E,133.0
166,Rank5_Symbol,TEINH_30,#B76319,139.0
167,Rank5_Symbol,TEINH_31,#533A24,147.0
168,Rank5_Symbol,TEINH_32,#AB5F1C,140.0
169,Rank5_Symbol,TEINH_33,#F97A09,134.0
170,Rank5_Symbol,TEINH_34,#4A3624,148.0
171,Rank5_Symbol,TEINH_4,#FEAD65,126.0
172,Rank5_Symbol,TEINH_5,#9E5A1F,141.0
173,Rank5_Symbol,TEINH_6,#925621,142.0
174,Rank5_Symbol,TEINH_7,#875122,143.0
175,Rank5_Symbol,TEINH_8,#7C4D24,144.0
176,Rank5_Symbol,TEINH_9,#413122,149.0
177,Rank5_Symbol,OBINH_1,#FFCC99,150.0
178,Rank5_Symbol,OBINH_2,#FFC388,151.0
179,Rank5_Symbol,OBINH_3,#B8722E,156.0
180,Rank5_Symbol,OBINH_4,#FFBB78,152.0
181,Rank5_Symbol,OBINH_5,#F6A85C,153.0
182,Rank5_Symbol,OBINH_6,#EA9644,154.0
183,Rank5_Symbol,OBINH_7,#DA8430,155.0
184,Rank5_Symbol,TEGLU_1,#2D6F2D,188.0
185,Rank5_Symbol,TEGLU_2,#274627,194.0
186,Rank5_Symbol,TEGLU_3,#2C6A2C,189.0
187,Rank5_Symbol,TEGLU_4,#2D752D,162.0
188,Rank5_Symbol,TEGLU_5,#2CAB2C,163.0
189,Rank5_Symbol,TEGLU_6,#7BEF7B,164.0
190,Rank5_Symbol,TEGLU_7,#2B5F2B,183.0
191,Rank5_Symbol,TEGLU_8,#71ED71,165.0
192,Rank5_Symbol,TEGLU_9,#2CA02C,176.0
193,Rank5_Symbol,TEGLU_10,#2C642C,195.0
194,Rank5_Symbol,TEGLU_11,#2B5A2B,190.0
195,Rank5_Symbol,TEGLU_12,#2C992C,177.0
196,Rank5_Symbol,TEGLU_13,#295029,184.0
197,Rank5_Symbol,TEGLU_14,#2C932C,178.0
198,Rank5_Symbol,TEGLU_15,#2D8D2D,179.0
199,Rank5_Symbol,TEGLU_16,#68EA68,166.0
200,Rank5_Symbol,TEGLU_17,#264126,185.0
201,Rank5_Symbol,TEGLU_18,#2D7B2D,180.0
202,Rank5_Symbol,TEGLU_19,#5FE75F,167.0
203,Rank5_Symbol,TEGLU_20,#2D872D,181.0
204,Rank5_Symbol,TEGLU_21,#56E356,168.0
205,Rank5_Symbol,TEGLU_22,#2D812D,182.0
206,Rank5_Symbol,TEGLU_23,#233823,186.0
207,Rank5_Symbol,TEGLU_24,#85F285,156.0
208,Rank5_Symbol,TEGLU_25,#2DB72D,175.0
209,Rank5_Symbol,TEGLU_26,#284B28,191.0
210,Rank5_Symbol,TEGLU_27,#4DE04D,169.0
211,Rank5_Symbol,TEGLU_28,#253D25,192.0
212,Rank5_Symbol,TEGLU_29,#B9FBB9,161.0
213,Rank5_Symbol,TEGLU_30,#223422,193.0
214,Rank5_Symbol,TEGLU_31,#44DC44,170.0
215,Rank5_Symbol,TEGLU_32,#3CD83C,171.0
216,Rank5_Symbol,TEGLU_33,#34D434,172.0
217,Rank5_Symbol,TEGLU_34,#202F20,187.0
218,Rank5_Symbol,TEGLU_35,#2A552A,196.0
219,Rank5_Symbol,TEGLU_36,#2DC32D,173.0
220,Rank5_Symbol,TEGLU_37,#AEF9AE,157.0
221,Rank5_Symbol,TEGLU_38,#2DCF2D,174.0
222,Rank5_Symbol,TEGLU_39,#A3F8A3,158.0
223,Rank5_Symbol,TEGLU_40,#99F699,159.0
224,Rank5_Symbol,TEGLU_41,#8FF48F,160.0
225,Rank5_Symbol,MSN_1,#7AECF8,197.0
226,Rank5_Symbol,MSN_10,#65E8F5,198.0
227,Rank5_Symbol,MSN_11,#50E3F2,199.0
228,Rank5_Symbol,MSN_12,#266065,209.0
229,Rank5_Symbol,MSN_13,#265257,210.0
230,Rank5_Symbol,MSN_14,#3CDEEF,200.0
231,Rank5_Symbol,MSN_2,#247C85,207.0
232,Rank5_Symbol,MSN_3,#17BDCE,203.0
233,Rank5_Symbol,MSN_4,#1BACBB,204.0
234,Rank5_Symbol,MSN_5,#29D9EB,201.0
235,Rank5_Symbol,MSN_6,#1F9BA8,205.0
236,Rank5_Symbol,MSN_7,#228B96,206.0
237,Rank5_Symbol,MSN_8,#17D2E6,202.0
238,Rank5_Symbol,MSN_9,#266D75,208.0
239,Rank5_Symbol,DGGRC,#79CC69,211.0
240,Rank5_Symbol,CBGRC_1,#FAF9D5,212.0
241,Rank5_Symbol,CBGRC_2,#F2ED83,213.0
242,Rank5_Symbol,CBINH_1,#D0C831,214.0
243,Rank5_Symbol,CBINH_2,#E0D843,215.0
244,Rank5_Symbol,CBPC,#77732D,216.0
245,Rank5_Symbol,VL1,#D5D5D4,217.0
246,Rank5_Symbol,VL2,#EEEEEE,218.0
247,Rank5_Symbol,Glia,#FBFBFB,219.0
248,Rank5_Symbol,NBL_1,#BABAB7,220.0
249,Rank5_Symbol,NP_1,#9E9E9A,221.0
250,Rank5_Symbol,NP_2,#898984,222.0
251,Rank5_Symbol,INH_8,#74746E,223.0
252,Rank5_Symbol,GLU_3,#6C6C66,224.0
253,Rank5_Symbol,Neuron,#61615B,225.0
254,Rank5_Symbol,GLU_4,#575751,226.0
255,Rank5_Symbol,GLU_6,#44443F,227.0
256,Rank5_Symbol,MEGLU_7,#3C3C3C,228.0
257,Tissue_symbol,OBgr,#FFC388,15.0
258,Tissue_symbol,OBmi,#B8722E,16.0
259,Tissue_symbol,OBopl,#FFEFD5,17.0
260,Tissue_symbol,OBgl,#FF8C00,18.0
261,Tissue_symbol,onl,#2F4F4F,1.0
262,Tissue_symbol,Mixed_A,#FFB6C1,25.0
263,Tissue_symbol,L2/3_A,#FFD700,26.0
264,Tissue_symbol,L2/3_B,#BDB76B,22.0
265,Tissue_symbol,L2/3_C,#556B2F,20.0
266,Tissue_symbol,L2/3_D,#DAA520,21.0
267,Tissue_symbol,L2/3_E,#B8860B,19.0
268,Tissue_symbol,L4,#ADFF2F,23.0
269,Tissue_symbol,L5,#56E356,27.0
270,Tissue_symbol,L6,#2DB72D,24.0
271,Tissue_symbol,PIR2,#5F9EA0,35.0
272,Tissue_symbol,EP,#7FFFD4,36.0
273,Tissue_symbol,ENTm_ECTp,#2E8B57,33.0
274,Tissue_symbol,AMYp,#66CDAA,38.0
275,Tissue_symbol,SUB,#8FBC8F,34.0
276,Tissue_symbol,CA1sp,#9400D3,30.0
277,Tissue_symbol,CA3sp,#C71585,31.0
278,Tissue_symbol,CA2_IG_FC,#FF00FF,32.0
279,Tissue_symbol,DG_A,#8B008B,28.0
280,Tissue_symbol,DG_B,#DDA0DD,29.0
281,Tissue_symbol,STR_A,#ADD8E6,43.0
282,Tissue_symbol,STR_B,#87CEFA,41.0
283,Tissue_symbol,STR_C,#00BFFF,40.0
284,Tissue_symbol,isl_A,#6495ED,39.0
285,Tissue_symbol,isl_B,#1E90FF,42.0
286,Tissue_symbol,CBXmo,#F2ED83,13.0
287,Tissue_symbol,CBXgr,#FAF9D5,12.0
